a_x_mean,a_y_mean,a_z_mean,a_x_std,a_y_std,a_z_std,a_x_mad,a_y_mad,a_z_mad,a_x_min,a_y_min,a_z_min,a_x_max,a_y_max,a_z_max,a_sma,a_x_energy,a_y_energy,a_z_energy,a_x_IQR,a_y_IQR,a_z_IQR,a_x_skewness,a_y_skewness,a_z_skewness,a_x_kurtosis,a_y_kurtosis,a_z_kurtosis,a_x_mean_fft,a_y_mean_fft,a_z_mean_fft,a_x_std_fft,a_y_std_fft,a_z_std_fft,a_x_mad_fft,a_y_mad_fft,a_z_mad_fft,a_x_min_fft,a_y_min_fft,a_z_min_fft,a_x_max_fft,a_y_max_fft,a_z_max_fft,a_sma_fft,a_x_energy_fft,a_y_energy_fft,a_z_energy_fft,a_x_IQR_fft,a_y_IQR_fft,a_z_IQR_fft,a_x_skewness_fft,a_y_skewness_fft,a_z_skewness_fft,a_x_kurtosis_fft,a_y_kurtosis_fft,a_z_kurtosis_fft,label
0.03172,-0.031588,-0.034196,0.09165453180285196,0.07098386194058477,0.1877274619867855,0.0656216,0.05829152,0.15722335999999998,-0.1563,-0.1893,-0.4111,0.2737,0.0863,0.2719,0.14383400000000002,0.0047033558,0.0030182552,0.0182054832,0.07315,0.095275,0.30265000000000003,0.2739782136439144,-0.2831627189191268,-0.4277218698851182,0.4891141661522571,-0.7450316756099067,-0.9567530134681448,0.405689620712132,0.32807087794941553,0.7203216442153684,0.5529480189370846,0.4406756392648676,1.1409141286156765,0.3650451311571337,0.2938394828230754,0.7491045611970817,0.021696708099868414,0.028500888878070178,0.01912243823074717,2.4280061508778075,1.7019716311184427,5.222484085347194,0.7270410714384579,0.23516779,0.15091276000000003,0.91027416,0.25470816349573405,0.20018888612423003,0.6649816279139318,2.424250933535939,2.152085297598249,2.6853954949391206,5.31675360271757,3.373018567127553,7.231670577086511,1
0.04120599999999999,-0.0039499999999999995,0.045799999999999993,0.05267227130094164,0.05701992721847336,0.16360982733320148,0.04339472,0.04356000000000001,0.129144,-0.0483,-0.1588,-0.4111,0.1512,0.0832,0.3348,0.1148,0.0022361513,0.0016334372999999998,0.014432907799999999,0.07244999999999999,0.06367500000000001,0.20929999999999999,0.5054267092897871,-1.056861401483821,-0.502876110313652,-0.7065592132664378,0.5502458627791498,0.27231152641049094,0.2711136265004683,0.2777691531535918,0.8449072936234822,0.3874435849588486,0.29357797525757356,0.8540623192612136,0.2536705586103669,0.1939805475886947,0.6456468447840025,0.019500000000000066,0.03210777585405295,0.18839999999999985,2.0603,1.2851930618982457,3.0380741733700405,0.696895036638771,0.11180756499999997,0.08167186500000001,0.7216453899999997,0.23627820138741895,0.23409463291646196,0.5635270471816234,2.8598551320716505,2.198681632737053,1.6185253536848014,8.638766910204371,4.482452302085515,1.1070268883804326,1
0.0391,0.02401199999999999,0.034474,0.06039629789978853,0.02990233863763836,0.11563851920532363,0.053076,0.024581440000000003,0.09014880000000002,-0.054,-0.0251,-0.1231,0.1512,0.0896,0.3348,0.08740300000000001,0.0025882614,0.0007353629999999999,0.007280361900000001,0.102925,0.047299999999999995,0.130975,0.36077601556652283,0.16273127008843044,1.038937939307015,-1.16048709945937,-0.7486676577916014,0.4140586873364742,0.3262396011802398,0.17664535033625725,0.517924430601966,0.39037656515441355,0.2057491681746999,0.6780785162395497,0.24353957844750113,0.13288036243982979,0.5088104691934368,0.016000000000000042,0.014453697615917438,0.0485608501907914,1.955,1.2006000000000001,2.2981031019209,0.5104046910592315,0.12941307000000002,0.036768150000000006,0.36401809500000004,0.2252855276159101,0.16814760910590446,0.16866078375029436,2.594335656672339,2.9506739704325438,1.7910006397670017,6.63791208563193,10.716183649914267,1.6605486032618053,1
0.019214,0.00016400000000000025,-0.012905999999999999,0.04492427855848105,0.03881663952482234,0.060800126348552926,0.036298,0.032254239999999997,0.04829,-0.054,-0.0678,-0.1475,0.1271,0.0896,0.1554,0.059712,0.0011936843,0.0007533792,0.0019316101000000003,0.06315,0.05035,0.06695,0.4985795766812697,0.5592894214770867,-0.02019539243337808,-0.2424093144301782,-0.46100488567425124,0.1953929229465925,0.25651730168069437,0.17830950918872315,0.3781291187453195,0.2314461145460334,0.20867112625583026,0.2240075435267484,0.17185516185367536,0.11423984814770236,0.18660088717188883,0.033869092752273657,0.008199999999999985,0.06449234477816952,0.9607,1.1212728785460118,0.9307191755974814,0.40647796480736853,0.059684215,0.037668959999999994,0.09658050500000001,0.24352629182810864,0.1021003912114549,0.3287929957051716,1.6408167067352895,3.6694486760365566,0.83977580253372,2.2292723479107845,13.748138262200914,-0.237935160990268,1
0.030732000000000002,-0.004258,-0.004352,0.03506043034533376,0.03450607534913236,0.0873166427206177,0.027392319999999998,0.028902399999999998,0.07293024,-0.0528,-0.0678,-0.1475,0.1131,0.072,0.1884,0.07152900000000001,0.0010868448,0.0006043999,0.003821568,0.039400000000000004,0.057825,0.14492500000000003,-0.46019279026509746,0.32772425198062943,-0.01978863902208694,0.14234434259649653,-0.8912118757686573,-0.9048833234005236,0.20876784894796316,0.15072530423206446,0.431511150693488,0.2551479281625474,0.19422119519803088,0.4426679645368318,0.1638491136742128,0.09932944996686445,0.34631640783394657,0.00962412995693762,0.03580440400312806,0.07475338416656609,1.5366,1.0456391860324237,1.7783236366665203,0.39550215193675786,0.054342240000000014,0.030219995000000006,0.19107839999999995,0.1801743888257893,0.09229417476127395,0.2848708291120394,3.158412963905187,3.8808135928553984,1.5585183860023841,12.506469060394588,15.07301808322454,1.4510657334320758,1
0.05131400000000001,0.035983999999999995,0.0032499999999999985,0.049716013557001934,0.04469125355145009,0.10307490722770503,0.037022,0.03706672,0.092394,-0.0684,-0.0409,-0.1472,0.164,0.1444,0.1884,0.09791,0.0025524043,0.0016460781999999999,0.0053174995000000004,0.05352499999999999,0.061775,0.190775,0.11525854726762629,0.47273054597348924,0.002157852602756895,0.15028192838876198,-0.5913884716642532,-1.3215085926789523,0.2752976622938901,0.2158715585104597,0.45689070398681486,0.4236173121291424,0.3435218919170439,0.5683316237993735,0.24770834812126416,0.1814756689062059,0.43722338080657414,0.014300000000000057,0.004799999999999993,0.03371582118868293,2.5656999999999996,1.7992000000000001,1.937808928277115,0.47402996239558237,0.12762021499999998,0.08230391,0.26587497499999996,0.11793190017262006,0.15244784080739257,0.38337748718363984,3.6769070444726317,3.3341487539065913,1.6277728947674106,15.308582891525557,10.649678014555311,1.2673216707386121,1
0.12052599999999998,0.023956000000000005,0.002254,0.09041218681129219,0.04749057658104394,0.08426223165808036,0.07666896000000001,0.03888064,0.07097368,-0.0684,-0.0401,-0.1472,0.2573,0.1444,0.186,0.11804000000000002,0.011350440100000001,0.0014146224,0.0035526021000000002,0.133125,0.06812499999999999,0.122675,-0.26252473787943736,0.9463870089727018,0.015490118098621474,-0.9753611054487865,-0.31606285061112915,-0.770703268606233,0.39168021380687684,0.224124474064404,0.3795089224409937,0.9907727388822317,0.30204380497761296,0.4596011181314464,0.45335628354846214,0.19556349798553188,0.3140021234547556,0.017742093225610003,0.029216261968959267,0.00010000000000001674,6.026299999999999,1.267734863834174,2.014705379640358,0.4976568051561373,0.5675220049999998,0.07073112,0.177630105,0.15366800711633646,0.13220451317493004,0.2321449630550964,4.420585776811556,2.4694773475758462,2.3111828261403793,19.964556030040143,5.292592112901472,4.858793917449994,1
0.20261600000000002,0.00038200000000000023,-0.067936,0.048356577050076656,0.01834723619513304,0.09796617938860329,0.038652,0.01536928,0.08511344,0.065,-0.0401,-0.256,0.2834,0.0446,0.1231,0.157325,0.021695800999999997,0.00016838349999999998,0.0071063362,0.05982499999999999,0.028075000000000003,0.170575,-0.9776835163177293,0.04522259093666406,-0.006219145119931997,0.753469837582097,-0.5921667743743901,-1.114623812055704,0.45513803576521394,0.10906621299088368,0.45165748186737986,1.4008673985783888,0.07030584032516214,0.7117858800743502,0.4665680524689319,0.04839436898008784,0.44407183300037434,0.038187247656130005,0.019100000000000006,0.02646565289439502,10.1308,0.3594296748393194,3.3968,0.5079308653117387,1.08479005,0.008419175,0.3553168099999999,0.23754406560488725,0.04634090385359871,0.3268437992630947,6.582825039590889,2.0350261853196026,2.678551543265679,42.519349707146574,4.274823866913643,6.452825067417095,1
0.21464399999999997,0.027108,-0.086768,0.033248026467746924,0.03320652851473638,0.0789861188817377,0.027879039999999994,0.028265279999999997,0.06713216,0.1469,-0.0233,-0.256,0.2964,0.0974,0.0563,0.170904,0.023588738999999997,0.0009187585999999999,0.006883746399999999,0.051675000000000026,0.05535,0.138025,0.3697156698001999,0.4883462918716943,-0.19838890838690454,-0.49382762297468963,-0.9866017854348681,-0.9265077139942557,0.39718021662706215,0.17435188996702955,0.4148573313484778,1.4836177996775584,0.24794612008443448,0.7185179431485476,0.4367171274258749,0.14210717150582824,0.3952167123585074,0.015199999999999964,0.03194661092613727,0.030399999999999948,10.732199999999999,1.3554,4.3384,0.4931947189712846,1.17943695,0.04593792999999999,0.3441873200000001,0.23798829174163255,0.11562484830617382,0.3261700662383707,6.75489437498636,3.2523847061134514,3.867272695999358,44.09760479824047,10.64620177054204,16.417089361519594,1
0.22401400000000002,0.057780000000000005,-0.09663599999999999,0.04137175853163605,0.028897543148163996,0.09089816887044536,0.03512880000000001,0.023912,0.0772192,0.1469,-0.0029,-0.2974,0.3007,0.0974,0.0563,0.193583,0.025946947300000005,0.0020867982000000005,0.0088004968,0.06299999999999997,0.0375,0.1498,0.3792711859287663,-0.7421465363496393,-0.37227427995538404,-0.9543472201858529,-0.5135009443451555,-0.8508568151652862,0.4258752203382315,0.1843057888776215,0.49895935669693664,1.5534880194909337,0.41798468415265844,0.7944112539261884,0.5018820260647608,0.18668886307775256,0.47303284090967423,0.02509999999999999,0.026480898348472216,0.0043999999999999595,11.200700000000001,2.8890000000000002,4.831799999999999,0.5545701829563948,1.2973473650000003,0.10433991,0.44002483999999986,0.18389278946345686,0.06175495524931736,0.32309476072915116,6.667095148796538,5.51399565841102,3.626684283971908,43.286720786989235,32.20025520362902,15.445566798062167,1
