time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003514,0.10,-0.13,-0.03
0.004085,0.03,-0.05,-0.02
0.006239,-0.04,0.03,0.01
0.011830,-0.10,0.11,0.03
0.016676,-0.14,0.17,0.04
0.021185,-0.17,0.22,0.06
0.027976,-0.19,0.26,0.06
0.031689,-0.19,0.28,0.05
0.036473,-0.19,0.30,0.03
0.041243,-0.19,0.31,0.01
0.046244,-0.19,0.33,-0.01
0.051852,-0.19,0.35,-0.04
0.056536,-0.19,0.36,-0.06
0.061568,-0.18,0.35,-0.08
0.066689,-0.17,0.35,-0.10
0.071759,-0.14,0.33,-0.11
0.077076,-0.12,0.30,-0.11
0.082637,-0.12,0.28,-0.09
0.086902,-0.13,0.26,-0.07
0.092996,-0.14,0.23,-0.03
0.097750,-0.15,0.20,0.00
0.102078,-0.16,0.16,0.03
0.106880,-0.15,0.12,0.04
0.112337,-0.13,0.09,0.04
0.117758,-0.10,0.06,0.04
0.122125,-0.07,0.03,0.03
0.127189,-0.05,0.00,0.02
0.132891,-0.02,-0.00,0.01
0.137924,0.01,-0.00,0.01
0.143325,0.01,-0.00,0.01
0.148238,-0.00,0.00,0.01
0.152818,-0.02,0.02,0.02
0.157695,-0.04,0.04,0.02
0.162609,-0.06,0.05,0.03
0.167786,-0.08,0.05,0.02
0.172662,-0.09,0.06,0.02
0.178822,-0.10,0.06,0.02
0.183363,-0.12,0.06,0.02
0.188580,-0.13,0.06,0.02
0.193583,-0.15,0.06,0.02
0.199488,-0.17,0.08,0.02
0.203002,-0.19,0.09,0.02
0.208050,-0.20,0.10,0.01
0.213445,-0.21,0.11,0.01
0.218411,-0.20,0.12,0.00
0.222864,-0.18,0.14,-0.02
0.228509,-0.16,0.14,-0.04
0.233406,-0.14,0.14,-0.05
0.238304,-0.14,0.13,-0.05
0.243393,-0.13,0.13,-0.06
0.248728,-0.13,0.13,-0.06
0.253835,-0.13,0.13,-0.06
0.260233,-0.13,0.14,-0.06
0.263596,-0.13,0.14,-0.06
0.268589,-0.13,0.13,-0.05
0.273741,-0.12,0.13,-0.05
0.278513,-0.10,0.12,-0.05
0.283817,-0.09,0.11,-0.05
0.288772,-0.08,0.10,-0.05
0.295384,-0.06,0.09,-0.06
0.299048,-0.05,0.09,-0.06
0.304154,-0.04,0.08,-0.06
0.308881,-0.03,0.08,-0.07
0.314145,-0.03,0.08,-0.07
0.318957,-0.02,0.08,-0.07
0.324092,-0.01,0.07,-0.07
0.329282,-0.00,0.07,-0.07
0.334508,0.00,0.06,-0.06
0.339526,0.01,0.05,-0.06
0.344108,0.01,0.04,-0.07
0.349331,0.02,0.04,-0.07
0.354521,0.02,0.03,-0.07
0.360419,0.02,0.03,-0.07
0.364833,0.02,0.03,-0.07
0.369404,0.01,0.04,-0.08
0.374474,0.00,0.05,-0.08
0.379584,-0.01,0.07,-0.09
0.384913,-0.02,0.09,-0.09
0.389471,-0.03,0.10,-0.10
0.394583,-0.05,0.12,-0.10
0.400102,-0.06,0.14,-0.10
0.404889,-0.07,0.16,-0.10
0.410546,-0.08,0.17,-0.10
0.415483,-0.08,0.18,-0.11
0.419857,-0.08,0.18,-0.11
0.424818,-0.07,0.18,-0.11
0.430852,-0.06,0.17,-0.11
0.435339,-0.05,0.15,-0.11
0.440056,-0.03,0.14,-0.11
0.445624,-0.02,0.11,-0.10
0.450335,-0.01,0.09,-0.10
0.455662,0.00,0.06,-0.09
0.460423,0.01,0.03,-0.09
0.465470,0.01,0.01,-0.08
0.470248,0.02,-0.00,-0.07
0.475428,0.01,-0.02,-0.06
0.481067,0.01,-0.03,-0.05
0.485823,0.00,-0.03,-0.05
0.490670,-0.01,-0.03,-0.04
0.495857,-0.01,-0.02,-0.04
0.500840,-0.02,-0.01,-0.04
0.505685,-0.03,-0.00,-0.03
0.510636,-0.04,0.00,-0.03
0.515876,-0.04,0.01,-0.03
